CMPNM_NM,ADSTRD_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE
비자림꿩메밀국수,이도2동,한식,가정식,0.17875,0.2925,0.0025,0.013750000000000002,0.01375,0.12125
마님,노형동,한식,단품요리 전문,0.6218518518518518,0.9125925925925926,0.002962962962962963,0.04111111111111111,0.04703703703703704,0.36703703703703705
88국밥,용담2동,한식,국밥,0.2409090909090909,0.37454545454545457,0.017272727272727273,0.11272727272727273,0.04181818181818182,0.2372727272727273
문성반점,연동,아시아음식,일식,0.1625,0.2575,0.0,0.01625,0.01125,0.1025
BBQ치킨 제주삼무공원점,연동,피자.치킨.햄버거,치킨,0.8546153846153846,0.8576923076923078,0.13692307692307693,0.47923076923076924,0.22307692307692306,0.72
텅꼬치구이도남점,삼도1동,주점및주류판매,꼬치구이,0.4,0.38,0.0,0.01,0.05,0.14
정한토속삼계탕원조설렁탕,연동,한식,삼계탕,0.27125,0.3475,0.008333333333333333,0.05333333333333334,0.0325,0.15833333333333335
형제돼지갈비,일도2동,고기,갈비,0.7,0.54,0.005,0.015,0.07500000000000001,0.235
예스예스커피,이도2동,카페,커피,0.13,0.6599999999999999,0.005,0.045,0.015,0.315
자가제빵선명희피자신제주점,연동,패스트푸드,피자,0.16,0.22599999999999998,0.002,0.022,0.020999999999999998,0.10600000000000001
돌돌이,동홍동,한식,가정식,1.0676470588235294,0.7450000000000001,0.06382352941176471,0.15000000000000002,0.1411764705882353,0.37852941176470584
투다리노형점,연동,주점 및 주류판매,꼬치구이,0.23,0.26333333333333336,0.01,0.05333333333333334,0.02666666666666667,0.18333333333333335
써니홀딩스,이도2동,한식,단품요리 전문,0.292,0.4776666666666667,0.004333333333333333,0.03833333333333333,0.024666666666666667,0.18133333333333335
구스스테이크,애월읍,고기,스테이크,0.20500000000000002,0.165,0.045000000000000005,0.1,0.065,0.155
배터지는생동까스 화북삼양점,화북동,일식.회,일식,0.27615384615384614,0.45615384615384613,0.0007692307692307692,0.01076923076923077,0.03076923076923077,0.17846153846153845
모카,이도2동,음료,커피,0.0503125,0.2609375,0.0,0.0053125,0.0028125,0.094375
