병원명,구분,토요일,일요일,공휴일,주소,위도,경도,주소2
황비뇨기과의원, 의원,1,0,1,제주특별자치도 서귀포시 동문로 2 서귀동 ,33.2523192582574,126.561504673145,서귀동
새봄비뇨기과의원, 의원,0,0,0,제주특별자치도 제주시 동광로 131,33.5079413615319,126.540471800294,일도이동
홍건수안과의원, 의원,1,0,0,제주특별자치도 제주시 월랑로 3  ,33.4864706584836,126.478475118898,노형동
화북성모안과의원, 의원,1,0,0,제주특별자치도 제주시 일주동로 250 ,33.5197231790278,126.571981190343,화북일동
밝은안과의원, 의원,1,0,0,제주특별자치도 제주시 동광로 131 ,33.5079413615319,126.540471800294,일도이동
연세안과의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 8675 ,33.2530177709473,126.561689408622,서귀동
서울안과의원, 의원,1,0,0,제주특별자치도 제주시 1100로 3333,33.4836219692901,126.480144305382,노형동
제주성모안과의원, 의원,1,0,0,제주특별자치도 서귀포시 동문로 5 ,33.2523432454262,126.562068685543,서귀동
제주국제공항의원, 의원,1,0,0,제주특별자치도 제주시 공항로 2 ,33.5059364682672,126.495951277797,용담이동
인제팔팔의원, 의원,1,0,0,제주특별자치도 제주시 동광로 120 ,33.5066486552758,126.539887780287,일도이동
수내과의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 8675 ,33.2530177709473,126.561689408622,서귀동
박봉철내과의원, 의원,1,0,0,제주특별자치도 제주시 일주동로 197,33.518980148661,126.566579766919,화북일동
정내과의원, 의원,1,0,0,제주특별자치도 제주시 동문로 70,33.5132590581554,126.534032832603,일도이동
유내과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 61,33.5126642987908,126.52480539172,이도일동
삼성탑내과의원, 의원,1,0,0,제주특별자치도 서귀포시 중정로61번길 1  ,33.2480324151583,126.562798724267,서귀동
동일내과의원, 의원,1,0,0,제주특별자치도 제주시 동광로 131 ,33.5079413615319,126.540471800294,일도이동
탐라우리들의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 552 ,33.4742347791693,126.54535367091,아라일동
서귀포제일속내과의원, 의원,1,0,0,제주특별자치도 서귀포시 중정로 109 ,33.2488319496571,126.568157487976,서귀동
제주소망의원, 의원,0,0,0,제주특별자치도 제주시 조천읍 신북로 519,33.5419832563655,126.665311121163,조천읍 함덕리
현용준내과의원, 의원,1,0,0,제주특별자치도 제주시 동광로 129,33.5078710428623,126.540376062933,일도이동
닥터양내과의원, 의원,1,0,0,제주특별자치도 제주시 관덕로 18 ,33.5128949650123,126.52127964585,삼도이동
표선하늘의원, 의원,1,0,0,제주특별자치도 서귀포시 표선면 표선동서로 246,33.3257178351256,126.832790446422,표선면 표선리
이민정산부인과의원, 의원,1,0,0,제주특별자치도 제주시 노형로 407 ,33.485821410903,126.478301044424,노형동
제이산부인과의원, 의원,1,0,0,제주특별자치도 제주시 연북로 38  ,33.4816497749802,126.485403352408,노형동
제주힘튼의원, 의원,1,0,0,제주특별자치도 제주시 서광로 215,33.5001243460011,126.519524370686,삼도일동
현창옥내과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 195 ,33.502000096441,126.528438943589,이도일동
