약국명,위도,경도,주소,주소2
대정온누리약국,33.2213903495082,126.251812065618,"제주특별자치도 서귀포시 대정읍 하모중앙로 76, 1층 3호",대정읍 하모리
천제연약국,33.2517062198499,126.423226092273,제주특별자치도 서귀포시 천제연로 174 ,중문동
삼일약국,33.2479974051684,126.561587313729,제주특별자치도 서귀포시 중앙로 37 ,서귀동
한빛약국,33.2564622330675,126.564245533587,제주특별자치도 서귀포시 장수로 36 ,동홍동
시계탑약국,33.2233238414519,126.251209467497,제주특별자치도 서귀포시 대정읍 하모이삼로 34-4 ,대정읍 하모리
민제약국,33.2477884082003,126.563535837662,제주특별자치도 서귀포시 중정로 66-2 ,서귀동
화순약국,33.2463068834185,126.334180284077,제주특별자치도 서귀포시 안덕면 화순로 113,안덕면 화순리
프라자약국,33.2218064855758,126.253935920973,제주특별자치도 서귀포시 대정읍 신영로 109,대정읍 하모리
조광약국,33.2781178943366,126.71437155289,제주특별자치도 서귀포시 남원읍 태위로 633,남원읍 남원리
메디팜현대약국,33.2216721913996,126.251706686481,제주특별자치도 서귀포시 대정읍 하모상가로 27,대정읍 하모리
새한약국,33.4633253108461,126.933308138528,제주특별자치도 서귀포시 성산읍 성산중앙로 39,성산읍 성산리
제주사랑약국,33.4502517271223,126.914951841146,제주특별자치도 서귀포시 성산읍 고성오조로 74,성산읍 고성리
조약국,33.2542217317913,126.561131164925,제주특별자치도 서귀포시 중앙로 108 ,동홍동
일품약국,33.4891724126832,126.486909184144,"제주특별자치도 제주시 제원1길 23, 1층 103호 ",연동
푸른약국,33.5174991708227,126.579866759828,"제주특별자치도 제주시 화삼북로 63, 삼화빌딩 1층 102호 ",삼양이동
시온온누리약국,33.4944036527446,126.534643601759,"제주특별자치도 제주시 중앙로 299, 1층 ",이도이동
365건강온누리약국,33.5008427104047,126.528435749276,"제주특별자치도 제주시 서광로 301, 1층 ",이도일동
구좌약국,33.5232790282259,126.855667474488,"제주특별자치도 제주시 구좌읍 구좌로 40, 1층",구좌읍 세화리
둘셋약국,33.4951718158437,126.533757635336,"제주특별자치도 제주시 연삼로 395, 1층 ",이도이동
핑크약국,33.4648651779604,126.319188072199,"제주특별자치도 제주시 애월읍 애월로 109, 1층",애월읍 애월리
큰곰약국,33.4841944587667,126.430534621471,"제주특별자치도 제주시 우평로 338, 1층 ",외도일동
오름아래약국,33.4895983510098,126.488660583969,"제주특별자치도 제주시 삼무로 18, 제주연동 하우스디어반 105호 ",연동
우리아빠약국,33.5206342191569,126.572210822067,"제주특별자치도 제주시 일주동로 255, 1층 ",화북일동
지아약국,33.4917415285373,126.471259738003,"제주특별자치도 제주시 억삼길 35-57, 가동 1층 4호 ",이호이동
유진약국,33.5129407733201,126.525711640813,제주특별자치도 제주시 관덕로 60 ,일도일동
관덕정약국,33.5128949650123,126.52127964585,제주특별자치도 제주시 관덕로 18 ,삼도이동
다정온누리약국,33.5164443483682,126.580996759829,"제주특별자치도 제주시 건주로 33, 1층 ",도련일동
우리약국,33.5001905139285,126.517434116968,제주특별자치도 제주시 서광로 195 ,삼도일동
은우약국,33.4794043922342,126.481797861927,"제주특별자치도 제주시 1100로 3283, 1층 ",노형동
킴스약국,33.4742347791693,126.54535367091,"제주특별자치도 제주시 중앙로 552, 1층 ",아라일동
만년약국,33.4997533682016,126.525191367395,제주특별자치도 제주시  서광로  268 ,도남동
김녕약국,33.5545534998695,126.75021550171,제주특별자치도 제주시 구좌읍 김녕로 114,구좌읍 김녕리
용담온누리약국,33.5127685258347,126.507652346153,제주특별자치도 제주시 용담로 46 ,용담이동
홍익한약국,33.486048276059,126.489456041918,"제주특별자치도 제주시 노연로 87, 102호 ",연동
최약국,33.5023973829354,126.547453553136,"제주특별자치도 제주시 연삼로 548, 1층 ",일도이동
별약국,33.5170882126091,126.5811410102,"제주특별자치도 제주시 건주로 27, 1층 102호 ",도련일동
